pattern,category
PEOPLES BANK,Checks & Cash
SUNOCO,Gas & Auto
CEFCO,Gas & Auto
PHILLIPS 66,Gas & Auto
SHELL OIL,Gas & Auto
ALLSUPS,Gas & Auto
MIGHTY WASH,Gas & Auto
VALERO,Gas & Auto
TX DPS,Gas & Auto
CHICK FIL A,Dining & Coffee
NIRVANA BURGER,Dining & Coffee
SHACK BBQ,Dining & Coffee
SCOOTER'S COFFEE,Dining & Coffee
FREDDY'S,Dining & Coffee
HAYASHI,Dining & Coffee
DOS COMPADRES,Dining & Coffee
MAD ROOSTERS,Dining & Coffee
GLAZED HONEY HAM,Dining & Coffee
HYATT,Travel
MMS-PROV,Health & Pharmacy
PROVID,Health & Pharmacy
1PASSWORD,Subscriptions
NAME-CHEAP,Subscriptions
DOLLARTREE,Shopping
BOMBAS,Shopping
VF Outdoor,Shopping
STUDY ABROAD,Fees & Other
SWP\*PROFESSIONAL,Fees & Other
^TEXAS TECH ,Fees & Other
FEDEX,Fees & Other
^SP ,Shopping
^SQ \*,Dining & Coffee
^WP\*,Shopping
